axis,ctrl_score,treat_score,ctrl_label,treat_label,source
P_axis,-872.3953117420812,16652.763941203953,HighPi,LowPi,GSE90061
N_axis,923.9976455594508,18594.78433206282,KCl_t120,N_supply_t120,GSE97500
ABA_axis,-5668.164126066081,9504.78301625709,DMSO,ABA,GSE127910
JA_axis,-2892.18994121196,6463.471144897938,Mock_8h,MeJA_8h,GSE90077
SA_axis,-5008.7875775646335,11155.10841284801,Mock_8h,BTH_8h,GSE90077
Fe_axis,-1508.685827131371,2751.3690242415687,WT_Fe_sufficient,WT_Fe_deficient,GSE213557
CK_axis,-3025.991930868011,2790.3434552887225,Col0_NaOH_1h,Col0_BA_1h,GSE149641
ET_axis,-1853.526591435383,2605.9790794172754,WT_mock_1h,WT_ACC_1h,GSE220957
SA_axis_v2,-2339.7848775588213,6251.593054565434,WT_mock_1h,WT_SA_1h,GSE220957
Auxin_axis,-4090.7145336163267,13106.379232815729,Col0_EtOH_2h,Col0_IAA_2h,GSE104385
