gene_id,log2FoldChange,padj
Os01g0832900,1.164669058,1.21e-16
Os02g0136000,1.127799782,1.25e-16
Os04g0568950,5.582526532,1.91e-16
Os06g0115600,1.899483482,1.92e-16
Os11g0242600,1.846971821,2.14e-16
Os05g0591900,-0.898253305,2.26e-16
Os02g0187300,5.727344033,2.4e-16
Os12g0555100,2.887548714,3.22e-16
Os08g0434300,1.282769303,3.95e-16
Os07g0160300,1.324420207,4.41e-16
Os02g0782900,-1.409031157,8.3e-16
Os11g0184900,-1.629200097,9.61e-16
Os12g0466200,-1.130085217,9.8e-16
Os01g0825800,-1.124513676,1.14e-15
Os11g0139700,-1.472352739,1.24e-15
Os01g0842500,1.211034436,1.44e-15
Os01g0962100,-3.029231565,2.03e-15
Os08g0453700,1.19112937,3.69e-15
Os07g0178600,1.981554153,3.88e-15
Os11g0251400,-1.061707879,4.21e-15
Os01g0260100,1.280492877,4.76e-15
Os05g0489900,1.319994515,6.57e-15
Os11g0626700,-3.59330244,7.74e-15
Os08g0447000,1.530606072,8.53e-15
Os07g0556200,-1.555469673,1.01e-14
Os03g0116300,0.979296083,1.13e-14
Os04g0558700,3.820620657,1.17e-14
Os09g0564400,2.155405271,1.45e-14
Os12g0265100,1.819590049,1.46e-14
Os01g0310100,1.068939959,1.66e-14
Os01g0636400,1.44078685,1.7e-14
Os07g0237700,-1.578446324,1.83e-14
Os09g0433800,1.962548125,2.01e-14
Os01g0645000,1.071298912,2.28e-14
Os01g0253800,1.618204141,2.35e-14
Os06g0651100,0.869720073,3.77e-14
Os07g0668300,2.299822878,3.91e-14
Os04g0432300,1.905708562,4.74e-14
Os05g0261700,-1.127363306,5.23e-14
Os03g0130400,1.22777518,5.39e-14
Os01g0806200,1.10076799,5.69e-14
Os06g0185500,2.802005924,5.79e-14
Os01g0800500,1.14135837,6.56e-14
Os06g0691400,1.043009712,7.49e-14
Os07g0559100,2.368772871,7.64e-14
Os01g0155800,1.867153337,8.59e-14
Os08g0531300,1.81554116,8.65e-14
Os11g0118400,-2.743684796,1.11e-13
Os05g0136900,1.477776276,1.2e-13
Os06g0324800,9.887284105,1.34e-13
Os01g0638000,4.054470874,1.47e-13
Os12g0615700,2.256071637,1.8e-13
Os03g0826800,-2.106262884,1.84e-13
Os10g0539200,2.418730224,2.12e-13
Os12g0574700,-1.266524691,2.85e-13
Os07g0134500,1.099303704,3.33e-13
Os09g0388550,-2.49087203,3.41e-13
Os11g0116300,1.550366535,3.69e-13
Os01g0631200,-1.577122816,3.81e-13
Os04g0400600,2.103453391,4.22e-13
Os08g0298700,3.223348685,4.35e-13
Os01g0627967,2.889282831,4.69e-13
Os12g0171500,-1.555620881,5.75e-13
Os05g0114400,-2.192791915,6.06e-13
Os04g0132900,-1.227987416,7.68e-13
Os04g0538300,3.279650152,7.85e-13
Os08g0544600,2.17946266,8.19e-13
Os01g0898900,0.999154006,8.27e-13
Os07g0614700,8.198652929,8.44e-13
Os07g0165200,1.591346815,9.47e-13
Os09g0491740,-1.181969376,1.02e-12
Os09g0411500,9.293357167,1.08e-12
Os04g0608600,1.821653396,1.14e-12
Os03g0586700,0.906218664,1.35e-12
Os02g0802700,1.158984678,1.35e-12
