GeneID,logFC
Solyc00g005000,3.5511907233421294
Solyc00g005050,-0.35090156310162063
Solyc00g005840,1.0619131405704443
Solyc00g006470,-1.789664859469635
Solyc00g006490,-0.33186135276549594
Solyc00g006670,-1.3882095519760884
Solyc00g006690,-1.8249974361321863
Solyc00g006800,0.2838206387297452
Solyc00g006810,0.5338740767574301
Solyc00g006830,-0.21821057971120364
Solyc00g007010,0.4407735897281296
Solyc00g007060,0.20189252993010928
Solyc00g007070,-0.527390562817326
Solyc00g007090,-0.11387704251294174
Solyc00g007100,-0.019455008821371984
Solyc00g007110,0.10372856083560415
Solyc00g007120,0.1443701216965736
Solyc00g007200,0.634953160074639
Solyc00g007260,-0.447670146538421
Solyc00g007270,-0.008341097289696302
Solyc00g007300,0.7147090322512268
Solyc00g008570,-1.7128139707838563
Solyc00g008580,-1.8412163974727511
Solyc00g008680,-0.04549367689571727
Solyc00g009020,0.24848661251602844
Solyc00g009060,1.1173704323329374
Solyc00g009070,-0.7708043048396946
Solyc00g009080,0.2813932890105969
Solyc00g009090,0.305391567978501
Solyc00g009100,0.36677677762931465
Solyc00g009110,-0.21821660925492042
Solyc00g009120,0.12058892744920875
Solyc00g009130,0.36676151850969363
Solyc00g009140,1.2412683968700682
Solyc00g009760,-1.8190337261383334
Solyc00g010530,-1.831346925689567
Solyc00g011150,-1.577768869589049
Solyc00g011160,-1.655303481894679
Solyc00g011880,0.21787887448094612
Solyc00g011890,-0.5916610859078004
Solyc00g012430,-2.6332907898742555
Solyc00g012440,-2.054645981895434
Solyc00g020840,-0.7008974067735773
Solyc00g024150,0.3260990937554339
Solyc00g026160,-0.822435192010169
Solyc00g027770,-0.5537847766259152
Solyc00g028760,-5.015140961726525
Solyc00g030520,0.49801097055938315
Solyc00g039990,-0.4297011826453972
Solyc00g047700,0.3249125465145241
Solyc00g048510,-3.277115960679215
Solyc00g049520,0.3102215131658242
Solyc00g050130,0.6000027471205054
Solyc00g050430,-0.9447914536787348
Solyc00g052940,0.7817846212192276
Solyc00g053440,-0.5400837838416738
Solyc00g059100,0.029708343104097413
Solyc00g059500,0.06417349494822742
Solyc00g063110,0.33960046154177687
Solyc00g067470,-2.6026530840787756
Solyc00g068970,-1.4552334730470164
Solyc00g068980,-1.7505813626903042
Solyc00g072100,0.1394011031662438
Solyc00g072400,0.4832041690223814
Solyc00g075030,4.88746114913511
Solyc00g075440,-0.5201354695403404
Solyc00g082150,-0.16343366349367391
Solyc00g082550,-0.21822026642431636
Solyc00g085070,-0.29030141165065576
Solyc00g090860,-1.6775613146748096
Solyc00g090870,-0.2181802814102235
Solyc00g091170,0.5825178910119189
Solyc00g093000,-0.21827424644962518
Solyc00g096460,-0.1802182807937512
Solyc00g097960,0.26721114640303606
Solyc00g098560,-2.0572292577271436
Solyc00g100880,-1.6332510890934329
Solyc00g102000,-1.9732140113922338
Solyc00g106650,-0.01659220063691821
Solyc00g110870,0.8635964579221702
Solyc00g112930,1.951734103673493
Solyc00g127660,0.16030595393990157
Solyc00g127670,1.0041763918559572
Solyc00g127870,0.7147301568814968
Solyc00g128870,-0.3586502077093019
Solyc00g136260,-1.6988317910103268
Solyc00g136560,-1.4592791229549147
Solyc00g140060,-0.5537902899635575
Solyc00g143770,0.42424360488246665
Solyc00g164680,0.36673792389151305
Solyc00g168200,-0.00603615532717354
Solyc00g170200,-0.703662182148533
Solyc00g170210,-0.4861656731932054
Solyc00g171810,-0.21816849877671576
Solyc00g178340,2.1416588267108154
Solyc00g179240,-0.14225392940451326
Solyc00g183050,-0.2181847929055468
Solyc00g184350,-0.6460779468135904
Solyc00g196060,-0.17010099057992006
Solyc00g201160,0.547307666270049
Solyc00g206460,1.7078266703125262
Solyc00g209460,1.0042018723732968
Solyc00g217960,-1.3119669032747099
Solyc00g227860,1.3667757958230207
Solyc00g231780,6.4724273886266985
Solyc00g233480,-0.1345266434327645
Solyc00g247300,-0.32940855055484514
Solyc00g256710,-0.2700922825659368
Solyc00g272810,-2.262554439998338
Solyc00g273110,-0.21823458306581378
Solyc00g289230,-0.2181924368755456
Solyc00g313930,0.12977281471510954
Solyc00g323130,-0.12203519019038059
Solyc01g005000,1.2842939782484182
Solyc01g005010,0.8192938821425059
Solyc01g005020,0.366766616744846
Solyc01g005030,-0.2181851216358993
Solyc01g005080,0.6443007478750273
Solyc01g005090,0.1037208956274884
Solyc01g005100,0.04483247284483298
Solyc01g005110,0.1651242270352223
Solyc01g005120,1.6887131271769635
Solyc01g005130,-0.2693900069902312
