gene_id,log2FoldChange,padj
Os03g0131100,1.331753998,1.7e-22
Os02g0600200,-2.485963444,2.05e-22
Os11g0183900,-1.277026137,4.41e-22
Os01g0650000,2.663247329,5.17e-22
Os01g0660200,-1.644519893,6.34e-22
Os06g0185500,3.557060795,7.78e-22
Os04g0423100,2.548958704,9.43e-22
Os02g0189200,2.063590374,1.4e-21
Os10g0492400,1.981921125,1.49e-21
Os09g0440300,-1.068338161,1.58e-21
Os11g0260100,-1.708776739,1.98e-21
Os03g0815200,1.283024222,2.46e-21
Os07g0668300,2.698876419,2.49e-21
Os07g0121200,4.025933755,2.71e-21
Os07g0158500,1.408333626,3.19e-21
Os04g0585700,1.534686171,3.35e-21
Os03g0397700,1.502128669,3.59e-21
Os04g0439600,1.44736072,3.62e-21
Os06g0617800,-1.357512696,3.74e-21
Os06g0146800,-4.1326371,5.18e-21
Os03g0609500,-1.928698522,8.95e-21
Os11g0141333,2.704094348,1.19e-20
Os10g0390500,-1.026273937,1.27e-20
Os07g0618400,1.386807748,2.47e-20
Os05g0506000,-2.093496483,2.56e-20
Os05g0334750,2.41790142,3.48e-20
Os01g0720700,-1.989608963,5.09e-20
Os04g0584201,-2.712892674,5.25e-20
Os03g0215700,2.100220271,5.33e-20
Os07g0142200,2.061526508,5.75e-20
Os05g0278500,1.401696364,5.92e-20
Os01g0226600,3.077011238,6.08e-20
Os03g0828300,3.068423571,8.22e-20
Os03g0793800,1.711096554,1.14e-19
Os04g0136700,1.501721829,1.16e-19
Os02g0753800,-1.309029414,1.37e-19
Os06g0257600,2.477018048,1.6e-19
Os01g0608300,-2.995024869,1.76e-19
Os12g0552800,1.446999967,2.55e-19
Os01g0946600,-2.364337488,2.59e-19
Os01g0908200,-1.926158981,4.29e-19
Os01g0246400,-3.232520232,4.45e-19
Os03g0388900,2.485551362,4.46e-19
Os11g0708100,1.971515831,4.48e-19
Os01g0896200,1.636582072,4.63e-19
Os04g0686650,1.311161511,5.6e-19
Os01g0253800,2.430890661,6.1e-19
Os04g0316200,-2.694431744,6.77e-19
Os03g0859900,1.63110812,6.78e-19
Os03g0307300,-9.701032212,7.04e-19
Os01g0704000,6.605808327,7.04e-19
Os10g0532200,2.395024413,7.23e-19
Os06g0210000,4.050306152,1.09e-18
Os02g0508100,1.230133558,1.28e-18
Os05g0563000,1.77021238,1.53e-18
Os01g0110200,2.551480123,1.67e-18
Os02g0186900,1.276218987,1.87e-18
Os08g0375400,4.447464372,2.03e-18
Os10g0317900,1.741796107,2.07e-18
Os02g0732800,2.182037014,2.21e-18
Os09g0453300,-2.120300939,2.21e-18
Os03g0306700,2.589546441,2.37e-18
Os01g0151500,1.93985283,2.37e-18
Os10g0479700,1.138690514,2.64e-18
Os05g0470000,1.37878773,2.84e-18
Os02g0533800,-2.536205077,2.88e-18
Os04g0359100,1.055016487,3.27e-18
Os03g0432100,-2.753687463,3.36e-18
Os01g0183300,1.217212599,3.86e-18
Os03g0291200,4.60503455,7.01e-18
Os09g0553900,-3.273916699,7.98e-18
Os01g0127000,2.396022857,8.67e-18
Os03g0176700,-1.868146494,8.78e-18
Os10g0116800,3.524580339,9.11e-18
Os01g0392600,-2.503810822,1.03e-17
Os05g0556400,1.442384437,1.03e-17
Os06g0223700,1.235858318,1.14e-17
Os01g0975900,-2.562820888,1.26e-17
Os10g0580400,2.418198106,1.36e-17
Os11g0242600,2.053056278,1.79e-17
Os05g0555700,1.263079447,1.82e-17
Os06g0234600,2.621016607,2.3e-17
Os02g0590400,2.037174592,2.35e-17
Os04g0454200,1.756369744,2.55e-17
